epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7769.19,0.7461,0.64576,1.38423,0.98811,1,0.99469,0.72088,1.03801,0.45506,1.79321,0.000367967,0.000367967,0.000367967
62,7896.4,0.70894,0.63542,1.34913,0.98804,1,0.99333,0.72071,1.02395,0.48263,1.78834,0.000350284,0.000350284,0.000350284
63,8023.15,0.70098,0.61238,1.33187,0.98718,1,0.99302,0.70889,1.06353,0.45496,1.84794,0.0003326,0.0003326,0.0003326
64,8150.16,0.69907,0.63024,1.33954,0.97612,0.998,0.99375,0.70652,1.11795,0.48828,1.87827,0.000314916,0.000314916,0.000314916
65,8279.02,0.71518,0.61846,1.3618,0.98645,0.99632,0.99406,0.69691,1.03065,0.47279,1.78016,0.000297232,0.000297232,0.000297232
66,8412.36,0.66241,0.60143,1.31537,0.98744,1,0.99073,0.71643,1.04161,0.45369,1.81999,0.000279548,0.000279548,0.000279548
67,8538.98,0.67089,0.6154,1.32327,0.98648,1,0.99104,0.71738,1.06145,0.45743,1.81202,0.000261864,0.000261864,0.000261864
68,8666.54,0.64903,0.59706,1.32306,0.98676,1,0.9924,0.7068,1.10593,0.46308,1.883,0.00024418,0.00024418,0.00024418
69,8793.36,0.64686,0.604,1.31795,0.98568,1,0.99437,0.7131,1.06208,0.45075,1.84179,0.000226497,0.000226497,0.000226497
70,8920.54,0.65775,0.60442,1.30861,0.98696,1,0.99437,0.73589,1.02086,0.44553,1.7832,0.000208813,0.000208813,0.000208813
71,9047.31,0.70455,0.52494,1.5983,0.98758,1,0.99104,0.71359,1.06608,0.47561,1.81601,0.000191129,0.000191129,0.000191129
72,9177.62,0.63142,0.41133,1.52625,0.9875,1,0.99437,0.71692,1.02891,0.48267,1.78809,0.000173445,0.000173445,0.000173445
73,9305.96,0.68859,0.39509,1.57941,0.98809,1,0.99469,0.70485,1.00447,0.46271,1.74444,0.000155761,0.000155761,0.000155761
74,9435.02,0.61604,0.34623,1.49257,0.98795,1,0.98896,0.69329,1.0436,0.47076,1.79549,0.000138077,0.000138077,0.000138077
75,9561.29,0.55679,0.32772,1.41206,0.98761,1,0.98771,0.7133,0.99891,0.45834,1.74696,0.000120393,0.000120393,0.000120393
76,9689.7,0.58468,0.36078,1.46004,0.98781,1,0.98865,0.70863,1.01715,0.46023,1.77031,0.000102709,0.000102709,0.000102709
77,9814.68,0.54467,0.35168,1.43472,0.98778,1,0.98802,0.71377,0.99436,0.45147,1.73854,8.50255e-05,8.50255e-05,8.50255e-05
78,9940.99,0.57242,0.33515,1.47345,0.98738,1,0.98833,0.72491,0.98711,0.44105,1.72308,6.73416e-05,6.73416e-05,6.73416e-05
79,10067.5,0.53998,0.31752,1.42368,0.98709,1,0.98833,0.72169,0.98603,0.4472,1.71967,4.96578e-05,4.96578e-05,4.96578e-05
80,10194.7,0.54388,0.36668,1.4289,0.98747,1,0.98833,0.72577,0.98024,0.44435,1.71455,3.19739e-05,3.19739e-05,3.19739e-05
